y,x,d,t
-4,-4,-4,-4
13,3,3,4
14,6,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,3,4
13,6,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,3,4
12,6,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,2,4
11,6,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,1,4
11,6,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,1,4
11,6,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,1,4
10,6,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,0,4
9,6,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,3,4
9,6,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,3,4
9,6,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,3,4
8,6,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,2,4
8,6,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,1,4
8,7,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,1,4
8,8,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,1,4
8,9,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,0,4
8,9,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,3,4
7,9,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,3,4
6,9,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,3,4
5,9,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,2,4
5,9,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,1,4
5,8,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,1,4
5,8,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,1,4
4,8,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,0,4
3,8,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,3,4
2,8,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,3,4
2,8,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,3,4
2,8,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,2,4
1,8,2,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,1,4
1,8,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,1,4
1,9,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,1,4
1,10,1,5
